epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.994,1.28134,1.21141,1.50645,0.74338,0.76061,0.7069,0.47628,1.18077,1.03193,1.34358,0.0670329,0.000232396,0.000232396
2,357.82,1.05191,0.88206,1.30884,0.76206,0.76404,0.72566,0.50812,1.07707,0.94723,1.28947,0.0338868,0.000419622,0.000419622
3,464.943,1.02667,0.85168,1.27402,0.75649,0.78047,0.73045,0.51211,1.06023,0.94547,1.25144,0.000694517,0.000560648,0.000560648
4,568.135,0.98788,0.81453,1.24888,0.78648,0.7742,0.75608,0.54272,1.01404,0.86376,1.18029,0.0004921,0.0004921,0.0004921
5,671.141,0.965,0.78521,1.22434,0.77018,0.79454,0.75523,0.53673,1.02547,0.84372,1.24345,0.0004228,0.0004228,0.0004228
6,774.794,0.92802,0.75083,1.2018,0.77157,0.79762,0.76752,0.5568,0.9599,0.81225,1.14585,0.0003535,0.0003535,0.0003535
7,877.916,0.90001,0.72467,1.17853,0.78106,0.78761,0.76708,0.56597,0.94849,0.8114,1.15037,0.0002842,0.0002842,0.0002842
8,980.761,0.88269,0.70449,1.16493,0.78058,0.79783,0.77462,0.57279,0.93215,0.78466,1.14146,0.0002149,0.0002149,0.0002149
9,1086.32,0.86241,0.68865,1.15399,0.77906,0.79678,0.7761,0.57438,0.91931,0.78022,1.13043,0.0001456,0.0001456,0.0001456
10,1191.46,0.83891,0.66487,1.13817,0.76773,0.79971,0.76533,0.57363,0.89943,0.76807,1.10786,7.63e-05,7.63e-05,7.63e-05
